Date,Time,Current Temperature,Current Wind Speed,Current Wind Direction,Current Relative Humidity,Current Barometric Pressure,Current Rain Rate,Daily Rain Total,Month Rain Total,Year Rain Total,Windchill,Heat Index,Dewpoint,Daily High Temperature,Daily Low Temperature,Month High Temperature,Month Low Temperature,Year High Temperature,Year Low Temperature,Wind 10 minute Average,Wind 10 minute Gust,Daily Wind High,Month Wind High,Year Wind High
03/21/2022,11:16:14,63.5,1.0,284,42,30.261,0.0000,0.0000,0.2300,20.1800,64.0,61.0,40.0,63.5,40.1,80.0,33.6,83.0,29.0,2.0,4.0,7.0,13.0,18.0
03/21/2022,11:17:14,63.1,1.0,208,41,30.263,0.0000,0.0000,0.2300,20.1800,63.0,60.0,39.0,63.5,40.1,80.0,33.6,83.0,29.0,2.0,4.0,7.0,13.0,18.0
03/21/2022,11:18:14,62.8,1.0,212,41,30.261,0.0000,0.0000,0.2300,20.1800,63.0,60.0,39.0,63.5,40.1,80.0,33.6,83.0,29.0,2.0,4.0,7.0,13.0,18.0
03/21/2022,11:19:14,62.6,1.0,135,41,30.259,0.0000,0.0000,0.2300,20.1800,63.0,60.0,38.0,63.5,40.1,80.0,33.6,83.0,29.0,2.0,4.0,7.0,13.0,18.0
03/21/2022,11:20:14,62.4,0.0,135,42,30.264,0.0000,0.0000,0.2300,20.1800,62.0,60.0,39.0,63.5,40.1,80.0,33.6,83.0,29.0,2.0,4.0,7.0,13.0,18.0
03/21/2022,11:21:14,62.6,1.0,135,43,30.258,0.0000,0.0000,0.2300,20.1800,63.0,60.0,40.0,63.5,40.1,80.0,33.6,83.0,29.0,2.0,4.0,7.0,13.0,18.0
03/21/2022,11:22:14,63.1,1.0,134,44,30.262,0.0000,0.0000,0.2300,20.1800,63.0,61.0,41.0,63.5,40.1,80.0,33.6,83.0,29.0,1.0,4.0,7.0,13.0,18.0
03/21/2022,11:23:14,63.8,1.0,155,41,30.262,0.0000,0.0000,0.2300,20.1800,64.0,61.0,39.0,63.8,40.1,80.0,33.6,83.0,29.0,1.0,4.0,7.0,13.0,18.0
03/21/2022,11:24:14,63.6,1.0,155,40,30.260,0.0000,0.0000,0.2300,20.1800,64.0,61.0,39.0,63.8,40.1,80.0,33.6,83.0,29.0,1.0,4.0,7.0,13.0,18.0
03/21/2022,11:25:14,63.9,0.0,32,41,30.259,0.0000,0.0000,0.2300,20.1800,64.0,61.0,40.0,63.9,40.1,80.0,33.6,83.0,29.0,1.0,4.0,7.0,13.0,18.0
03/21/2022,11:26:14,64.0,0.0,190,40,30.257,0.0000,0.0000,0.2300,20.1800,64.0,61.0,39.0,64.0,40.1,80.0,33.6,83.0,29.0,1.0,4.0,7.0,13.0,18.0
03/21/2022,11:27:14,64.2,2.0,268,41,30.259,0.0000,0.0000,0.2300,20.1800,64.0,61.0,40.0,64.2,40.1,80.0,33.6,83.0,29.0,1.0,4.0,7.0,13.0,18.0
03/21/2022,11:28:14,64.1,0.0,323,39,30.257,0.0000,0.0000,0.2300,20.1800,64.0,61.0,38.0,64.2,40.1,80.0,33.6,83.0,29.0,1.0,4.0,7.0,13.0,18.0
03/21/2022,11:29:14,64.0,1.0,104,39,30.257,0.0000,0.0000,0.2300,20.1800,64.0,61.0,38.0,64.2,40.1,80.0,33.6,83.0,29.0,1.0,4.0,7.0,13.0,18.0
03/21/2022,11:30:14,63.7,3.0,149,40,30.254,0.0000,0.0000,0.2300,20.1800,64.0,61.0,39.0,64.2,40.1,80.0,33.6,83.0,29.0,1.0,5.0,7.0,13.0,18.0
03/21/2022,11:31:14,63.7,0.0,205,40,30.256,0.0000,0.0000,0.2300,20.1800,64.0,61.0,39.0,64.2,40.1,80.0,33.6,83.0,29.0,1.0,5.0,7.0,13.0,18.0
03/21/2022,11:32:14,63.7,2.0,229,41,30.256,0.0000,0.0000,0.2300,20.1800,64.0,61.0,39.0,64.2,40.1,80.0,33.6,83.0,29.0,2.0,5.0,7.0,13.0,18.0
03/21/2022,11:33:14,63.6,2.0,146,41,30.256,0.0000,0.0000,0.2300,20.1800,64.0,61.0,39.0,64.2,40.1,80.0,33.6,83.0,29.0,2.0,5.0,7.0,13.0,18.0
03/21/2022,11:34:14,63.6,5.0,294,41,30.257,0.0000,0.0000,0.2300,20.1800,64.0,61.0,39.0,64.2,40.1,80.0,33.6,83.0,29.0,2.0,5.0,7.0,13.0,18.0
03/21/2022,11:35:14,63.7,1.0,292,40,30.254,0.0000,0.0000,0.2300,20.1800,64.0,61.0,39.0,64.2,40.1,80.0,33.6,83.0,29.0,2.0,6.0,7.0,13.0,18.0
03/21/2022,11:36:14,63.7,1.0,248,40,30.256,0.0000,0.0000,0.2300,20.1800,64.0,61.0,39.0,64.2,40.1,80.0,33.6,83.0,29.0,2.0,6.0,7.0,13.0,18.0
03/21/2022,11:37:14,64.1,2.0,277,41,30.255,0.0000,0.0000,0.2300,20.1800,64.0,61.0,40.0,64.2,40.1,80.0,33.6,83.0,29.0,2.0,6.0,7.0,13.0,18.0
03/21/2022,11:38:14,64.1,2.0,148,40,30.255,0.0000,0.0000,0.2300,20.1800,64.0,61.0,39.0,64.2,40.1,80.0,33.6,83.0,29.0,2.0,6.0,7.0,13.0,18.0
03/21/2022,11:39:14,64.3,1.0,271,39,30.253,0.0000,0.0000,0.2300,20.1800,64.0,61.0,39.0,64.3,40.1,80.0,33.6,83.0,29.0,2.0,6.0,7.0,13.0,18.0
03/21/2022,11:40:14,64.7,3.0,123,37,30.253,0.0000,0.0000,0.2300,20.1800,65.0,61.0,38.0,64.7,40.1,80.0,33.6,83.0,29.0,2.0,6.0,7.0,13.0,18.0
03/21/2022,11:41:14,65.2,4.0,163,39,30.251,0.0000,0.0000,0.2300,20.1800,65.0,62.0,39.0,65.2,40.1,80.0,33.6,83.0,29.0,2.0,7.0,7.0,13.0,18.0
03/21/2022,11:42:14,65.4,2.0,189,36,30.251,0.0000,0.0000,0.2300,20.1800,65.0,62.0,38.0,65.5,40.1,80.0,33.6,83.0,29.0,2.0,7.0,7.0,13.0,18.0
03/21/2022,11:43:14,65.9,1.0,189,31,30.251,0.0000,0.0000,0.2300,20.1800,66.0,62.0,34.0,65.9,40.1,80.0,33.6,83.0,29.0,2.0,7.0,7.0,13.0,18.0
03/21/2022,11:44:14,66.4,2.0,235,31,30.252,0.0000,0.0000,0.2300,20.1800,66.0,63.0,35.0,66.4,40.1,80.0,33.6,83.0,29.0,2.0,7.0,7.0,13.0,18.0
03/21/2022,11:45:14,66.7,1.0,141,31,30.252,0.0000,0.0000,0.2300,20.1800,67.0,63.0,35.0,66.7,40.1,80.0,33.6,83.0,29.0,2.0,7.0,7.0,13.0,18.0
03/21/2022,11:46:14,67.0,3.0,98,30,30.253,0.0000,0.0000,0.2300,20.1800,67.0,63.0,34.0,67.0,40.1,80.0,33.6,83.0,29.0,2.0,7.0,7.0,13.0,18.0
03/21/2022,11:47:14,67.2,0.0,221,30,30.252,0.0000,0.0000,0.2300,20.1800,67.0,64.0,35.0,67.2,40.1,80.0,33.6,83.0,29.0,2.0,7.0,7.0,13.0,18.0
03/21/2022,11:48:14,67.1,1.0,163,29,30.249,0.0000,0.0000,0.2300,20.1800,67.0,63.0,34.0,67.2,40.1,80.0,33.6,83.0,29.0,2.0,7.0,7.0,13.0,18.0
03/21/2022,11:49:14,67.1,2.0,329,29,30.254,0.0000,0.0000,0.2300,20.1800,67.0,63.0,34.0,67.2,40.1,80.0,33.6,83.0,29.0,2.0,7.0,7.0,13.0,18.0
03/21/2022,11:50:14,67.0,2.0,90,32,30.249,0.0000,0.0000,0.2300,20.1800,67.0,64.0,36.0,67.2,40.1,80.0,33.6,83.0,29.0,2.0,7.0,7.0,13.0,18.0
03/21/2022,11:51:14,66.8,2.0,169,35,30.252,0.0000,0.0000,0.2300,20.1800,67.0,64.0,38.0,67.2,40.1,80.0,33.6,83.0,29.0,2.0,7.0,7.0,13.0,18.0
03/21/2022,11:52:14,66.7,6.0,271,34,30.253,0.0000,0.0000,0.2300,20.1800,67.0,63.0,37.0,67.2,40.1,80.0,33.6,83.0,29.0,2.0,7.0,7.0,13.0,18.0
03/21/2022,11:53:14,66.4,2.0,146,34,30.251,0.0000,0.0000,0.2300,20.1800,66.0,63.0,37.0,67.2,40.1,80.0,33.6,83.0,29.0,2.0,7.0,7.0,13.0,18.0
03/21/2022,11:54:14,66.3,3.0,219,34,30.251,0.0000,0.0000,0.2300,20.1800,66.0,63.0,37.0,67.2,40.1,80.0,33.6,83.0,29.0,2.0,7.0,7.0,13.0,18.0
03/21/2022,11:55:14,66.2,1.0,217,35,30.250,0.0000,0.0000,0.2300,20.1800,66.0,63.0,38.0,67.2,40.1,80.0,33.6,83.0,29.0,3.0,7.0,7.0,13.0,18.0
03/21/2022,11:56:14,66.3,1.0,105,35,30.250,0.0000,0.0000,0.2300,20.1800,66.0,63.0,38.0,67.2,40.1,80.0,33.6,83.0,29.0,2.0,7.0,7.0,13.0,18.0
03/21/2022,11:57:14,66.3,1.0,123,35,30.250,0.0000,0.0000,0.2300,20.1800,66.0,63.0,38.0,67.2,40.1,80.0,33.6,83.0,29.0,2.0,7.0,7.0,13.0,18.0
03/21/2022,11:58:14,66.4,4.0,84,36,30.249,0.0000,0.0000,0.2300,20.1800,66.0,63.0,39.0,67.2,40.1,80.0,33.6,83.0,29.0,2.0,7.0,7.0,13.0,18.0
03/21/2022,11:59:14,66.7,3.0,5,35,30.249,0.0000,0.0000,0.2300,20.1800,67.0,63.0,38.0,67.2,40.1,80.0,33.6,83.0,29.0,2.0,6.0,7.0,13.0,18.0
03/21/2022,12:00:14,67.2,2.0,121,31,30.247,0.0000,0.0000,0.2300,20.1800,67.0,64.0,35.0,67.2,40.1,80.0,33.6,83.0,29.0,2.0,6.0,7.0,13.0,18.0
03/21/2022,12:01:14,67.3,2.0,131,33,30.247,0.0000,0.0000,0.2300,20.1800,67.0,64.0,37.0,67.3,40.1,80.0,33.6,83.0,29.0,2.0,6.0,7.0,13.0,18.0
03/21/2022,12:02:14,67.2,3.0,298,31,30.244,0.0000,0.0000,0.2300,20.1800,67.0,64.0,35.0,67.3,40.1,80.0,33.6,83.0,29.0,2.0,6.0,7.0,13.0,18.0
03/21/2022,12:03:14,67.6,4.0,36,30,30.245,0.0000,0.0000,0.2300,20.1800,68.0,64.0,35.0,67.6,40.1,80.0,33.6,83.0,29.0,2.0,8.0,8.0,13.0,18.0
03/21/2022,12:04:14,67.9,2.0,133,29,30.244,0.0000,0.0000,0.2300,20.1800,68.0,64.0,34.0,67.9,40.1,80.0,33.6,83.0,29.0,2.0,8.0,8.0,13.0,18.0
03/21/2022,12:05:14,67.8,1.0,327,27,30.244,0.0000,0.0000,0.2300,20.1800,68.0,64.0,32.0,67.9,40.1,80.0,33.6,83.0,29.0,2.0,8.0,8.0,13.0,18.0
03/21/2022,12:06:14,68.1,3.0,214,27,30.242,0.0000,0.0000,0.2300,20.1800,68.0,64.0,33.0,68.1,40.1,80.0,33.6,83.0,29.0,2.0,8.0,8.0,13.0,18.0
03/21/2022,12:07:14,68.1,5.0,235,27,30.241,0.0000,0.0000,0.2300,20.1800,68.0,64.0,33.0,68.1,40.1,80.0,33.6,83.0,29.0,2.0,8.0,8.0,13.0,18.0
03/21/2022,12:08:14,68.1,2.0,23,27,30.240,0.0000,0.0000,0.2300,20.1800,68.0,64.0,33.0,68.1,40.1,80.0,33.6,83.0,29.0,3.0,8.0,8.0,13.0,18.0
03/21/2022,12:09:14,68.3,4.0,147,26,30.241,0.0000,0.0000,0.2300,20.1800,68.0,64.0,32.0,68.3,40.1,80.0,33.6,83.0,29.0,3.0,8.0,8.0,13.0,18.0
03/21/2022,12:10:14,68.5,1.0,338,27,30.236,0.0000,0.0000,0.2300,20.1800,69.0,64.0,33.0,68.5,40.1,80.0,33.6,83.0,29.0,3.0,8.0,8.0,13.0,18.0
03/21/2022,12:11:14,68.9,2.0,134,25,30.238,0.0000,0.0000,0.2300,20.1800,69.0,65.0,32.0,68.9,40.1,80.0,33.6,83.0,29.0,2.0,8.0,8.0,13.0,18.0
03/21/2022,12:12:14,69.1,3.0,94,25,30.233,0.0000,0.0000,0.2300,20.1800,69.0,65.0,32.0,69.1,40.1,80.0,33.6,83.0,29.0,2.0,7.0,8.0,13.0,18.0
03/21/2022,12:13:14,69.4,7.0,79,26,30.240,0.0000,0.0000,0.2300,20.1800,68.0,65.0,33.0,69.4,40.1,80.0,33.6,83.0,29.0,2.0,6.0,8.0,13.0,18.0
03/21/2022,12:14:14,69.6,2.0,171,24,30.236,0.0000,0.0000,0.2300,20.1800,70.0,65.0,31.0,69.6,40.1,80.0,33.6,83.0,29.0,2.0,6.0,8.0,13.0,18.0
03/21/2022,12:15:14,69.6,2.0,198,24,30.233,0.0000,0.0000,0.2300,20.1800,70.0,65.0,31.0,69.6,40.1,80.0,33.6,83.0,29.0,2.0,6.0,8.0,13.0,18.0
03/21/2022,12:16:14,69.6,3.0,130,21,30.237,0.0000,0.0000,0.2300,20.1800,70.0,65.0,28.0,69.6,40.1,80.0,33.6,83.0,29.0,3.0,6.0,8.0,13.0,18.0
03/21/2022,12:17:14,69.5,1.0,123,21,30.234,0.0000,0.0000,0.2300,20.1800,70.0,65.0,28.0,69.6,40.1,80.0,33.6,83.0,29.0,2.0,6.0,8.0,13.0,18.0
03/21/2022,12:18:14,69.5,3.0,153,21,30.235,0.0000,0.0000,0.2300,20.1800,70.0,65.0,28.0,69.6,40.1,80.0,33.6,83.0,29.0,2.0,6.0,8.0,13.0,18.0
03/21/2022,12:19:14,69.8,2.0,206,22,30.234,0.0000,0.0000,0.2300,20.1800,70.0,65.0,29.0,69.6,40.1,80.0,33.6,83.0,29.0,2.0,6.0,8.0,13.0,18.0
03/21/2022,12:20:14,69.9,2.0,196,20,30.234,0.0000,0.0000,0.2300,20.1800,70.0,65.0,27.0,69.9,40.1,80.0,33.6,83.0,29.0,2.0,6.0,8.0,13.0,18.0
03/21/2022,12:21:14,69.8,1.0,9,20,30.233,0.0000,0.0000,0.2300,20.1800,70.0,65.0,27.0,69.9,40.1,80.0,33.6,83.0,29.0,2.0,6.0,8.0,13.0,18.0
03/21/2022,12:22:14,70.4,1.0,71,19,30.234,0.0000,0.0000,0.2300,20.1800,70.0,66.0,26.0,70.4,40.1,80.0,33.6,83.0,29.0,2.0,6.0,8.0,13.0,18.0
03/21/2022,12:23:14,70.5,2.0,128,20,30.233,0.0000,0.0000,0.2300,20.1800,71.0,66.0,27.0,70.6,40.1,80.0,33.6,83.0,29.0,2.0,5.0,8.0,13.0,18.0
03/21/2022,12:24:14,70.4,1.0,138,19,30.232,0.0000,0.0000,0.2300,20.1800,70.0,66.0,26.0,70.6,40.1,80.0,33.6,83.0,29.0,2.0,5.0,8.0,13.0,18.0
03/21/2022,12:25:14,70.4,2.0,114,20,30.235,0.0000,0.0000,0.2300,20.1800,70.0,66.0,27.0,70.6,40.1,80.0,33.6,83.0,29.0,2.0,5.0,8.0,13.0,18.0
03/21/2022,12:26:14,70.4,2.0,99,19,30.232,0.0000,0.0000,0.2300,20.1800,70.0,66.0,26.0,70.6,40.1,80.0,33.6,83.0,29.0,2.0,5.0,8.0,13.0,18.0
03/21/2022,12:27:14,70.4,1.0,192,20,30.234,0.0000,0.0000,0.2300,20.1800,70.0,66.0,27.0,70.6,40.1,80.0,33.6,83.0,29.0,2.0,5.0,8.0,13.0,18.0
03/21/2022,12:28:14,70.2,1.0,186,19,30.233,0.0000,0.0000,0.2300,20.1800,70.0,65.0,26.0,70.6,40.1,80.0,33.6,83.0,29.0,2.0,6.0,8.0,13.0,18.0
03/21/2022,12:29:14,70.2,1.0,25,18,30.232,0.0000,0.0000,0.2300,20.1800,70.0,65.0,25.0,70.6,40.1,80.0,33.6,83.0,29.0,2.0,6.0,8.0,13.0,18.0
03/21/2022,12:30:14,70.3,3.0,84,18,30.230,0.0000,0.0000,0.2300,20.1800,70.0,65.0,25.0,70.6,40.1,80.0,33.6,83.0,29.0,2.0,5.0,8.0,13.0,18.0
03/21/2022,12:31:14,70.8,1.0,84,20,30.233,0.0000,0.0000,0.2300,20.1800,71.0,66.0,28.0,70.8,40.1,80.0,33.6,83.0,29.0,2.0,5.0,8.0,13.0,18.0
03/21/2022,12:32:14,71.2,1.0,140,19,30.234,0.0000,0.0000,0.2300,20.1800,71.0,67.0,27.0,71.3,40.1,80.0,33.6,83.0,29.0,2.0,5.0,8.0,13.0,18.0
03/21/2022,12:33:14,71.4,2.0,140,20,30.233,0.0000,0.0000,0.2300,20.1800,71.0,67.0,28.0,71.4,40.1,80.0,33.6,83.0,29.0,2.0,5.0,8.0,13.0,18.0
03/21/2022,12:34:14,71.1,2.0,148,19,30.234,0.0000,0.0000,0.2300,20.1800,71.0,67.0,27.0,71.4,40.1,80.0,33.6,83.0,29.0,2.0,5.0,8.0,13.0,18.0
03/21/2022,12:35:14,70.8,3.0,128,18,30.233,0.0000,0.0000,0.2300,20.1800,71.0,66.0,25.0,71.4,40.1,80.0,33.6,83.0,29.0,2.0,5.0,8.0,13.0,18.0
03/21/2022,12:36:14,70.8,1.0,172,20,30.234,0.0000,0.0000,0.2300,20.1800,71.0,66.0,28.0,71.4,40.1,80.0,33.6,83.0,29.0,2.0,5.0,8.0,13.0,18.0
03/21/2022,12:37:14,71.0,3.0,321,20,30.230,0.0000,0.0000,0.2300,20.1800,71.0,67.0,28.0,71.4,40.1,80.0,33.6,83.0,29.0,2.0,5.0,8.0,13.0,18.0
03/21/2022,12:38:14,70.9,3.0,255,17,30.232,0.0000,0.0000,0.2300,20.1800,71.0,66.0,24.0,71.4,40.1,80.0,33.6,83.0,29.0,2.0,7.0,8.0,13.0,18.0
03/21/2022,12:39:14,70.8,1.0,61,19,30.231,0.0000,0.0000,0.2300,20.1800,71.0,66.0,26.0,71.4,40.1,80.0,33.6,83.0,29.0,2.0,7.0,8.0,13.0,18.0
03/21/2022,12:40:14,70.9,2.0,165,21,30.230,0.0000,0.0000,0.2300,20.1800,71.0,66.0,29.0,71.4,40.1,80.0,33.6,83.0,29.0,2.0,7.0,8.0,13.0,18.0
03/21/2022,12:41:14,71.0,3.0,209,19,30.229,0.0000,0.0000,0.2300,20.1800,71.0,66.0,27.0,71.4,40.1,80.0,33.6,83.0,29.0,2.0,8.0,8.0,13.0,18.0
03/21/2022,12:42:14,70.7,2.0,149,18,30.227,0.0000,0.0000,0.2300,20.1800,71.0,66.0,25.0,71.4,40.1,80.0,33.6,83.0,29.0,2.0,8.0,8.0,13.0,18.0
03/21/2022,12:43:14,70.8,2.0,165,20,30.228,0.0000,0.0000,0.2300,20.1800,71.0,66.0,28.0,71.4,40.1,80.0,33.6,83.0,29.0,2.0,8.0,8.0,13.0,18.0
03/21/2022,12:44:14,70.8,0.0,159,20,30.228,0.0000,0.0000,0.2300,20.1800,71.0,66.0,28.0,71.4,40.1,80.0,33.6,83.0,29.0,2.0,8.0,8.0,13.0,18.0
03/21/2022,12:45:14,70.8,0.0,159,20,30.228,0.0000,0.0000,0.2300,20.1800,71.0,66.0,28.0,71.4,40.1,80.0,33.6,83.0,29.0,2.0,8.0,8.0,13.0,18.0
03/21/2022,12:46:14,71.4,0.0,88,20,30.227,0.0000,0.0000,0.2300,20.1800,71.0,67.0,28.0,71.4,40.1,80.0,33.6,83.0,29.0,2.0,8.0,8.0,13.0,18.0
03/21/2022,12:47:14,71.4,1.0,46,20,30.228,0.0000,0.0000,0.2300,20.1800,71.0,67.0,28.0,71.4,40.1,80.0,33.6,83.0,29.0,2.0,8.0,8.0,13.0,18.0
03/21/2022,12:48:14,71.5,2.0,294,19,30.227,0.0000,0.0000,0.2300,20.1800,72.0,67.0,27.0,71.6,40.1,80.0,33.6,83.0,29.0,2.0,8.0,8.0,13.0,18.0
03/21/2022,12:49:14,71.5,1.0,95,20,30.226,0.0000,0.0000,0.2300,20.1800,72.0,67.0,28.0,71.6,40.1,80.0,33.6,83.0,29.0,2.0,8.0,8.0,13.0,18.0
03/21/2022,12:50:14,71.5,1.0,293,19,30.232,0.0000,0.0000,0.2300,20.1800,72.0,67.0,27.0,71.6,40.1,80.0,33.6,83.0,29.0,2.0,8.0,8.0,13.0,18.0
03/21/2022,12:51:14,71.6,1.0,138,20,30.230,0.0000,0.0000,0.2300,20.1800,72.0,67.0,28.0,71.6,40.1,80.0,33.6,83.0,29.0,2.0,7.0,8.0,13.0,18.0
03/21/2022,12:52:14,71.6,1.0,138,20,30.230,0.0000,0.0000,0.2300,20.1800,72.0,67.0,28.0,71.6,40.1,80.0,33.6,83.0,29.0,2.0,7.0,8.0,13.0,18.0
03/21/2022,12:53:14,71.8,0.0,81,20,30.226,0.0000,0.0000,0.2300,20.1800,72.0,68.0,29.0,71.8,40.1,80.0,33.6,83.0,29.0,2.0,7.0,8.0,13.0,18.0
03/21/2022,12:54:14,71.9,2.0,190,19,30.228,0.0000,0.0000,0.2300,20.1800,72.0,68.0,27.0,71.9,40.1,80.0,33.6,83.0,29.0,2.0,7.0,8.0,13.0,18.0
03/21/2022,12:55:14,71.6,3.0,22,19,30.229,0.0000,0.0000,0.2300,20.1800,72.0,67.0,27.0,71.9,40.1,80.0,33.6,83.0,29.0,2.0,7.0,8.0,13.0,18.0
03/21/2022,12:56:14,71.5,2.0,227,18,30.228,0.0000,0.0000,0.2300,20.1800,72.0,67.0,26.0,71.9,40.1,80.0,33.6,83.0,29.0,2.0,7.0,8.0,13.0,18.0
03/21/2022,12:57:14,71.8,4.0,270,20,30.224,0.0000,0.0000,0.2300,20.1800,72.0,68.0,29.0,71.9,40.1,80.0,33.6,83.0,29.0,2.0,8.0,8.0,13.0,18.0
03/21/2022,12:58:14,71.7,2.0,14,18,30.224,0.0000,0.0000,0.2300,20.1800,72.0,67.0,26.0,71.9,40.1,80.0,33.6,83.0,29.0,2.0,8.0,8.0,13.0,18.0
03/21/2022,12:59:14,71.8,1.0,159,18,30.228,0.0000,0.0000,0.2300,20.1800,72.0,68.0,26.0,71.9,40.1,80.0,33.6,83.0,29.0,2.0,8.0,8.0,13.0,18.0
03/21/2022,13:00:14,72.1,2.0,115,19,30.223,0.0000,0.0000,0.2300,20.1800,72.0,68.0,28.0,72.1,40.1,80.0,33.6,83.0,29.0,2.0,8.0,8.0,13.0,18.0
03/21/2022,13:01:14,72.2,1.0,171,20,30.226,0.0000,0.0000,0.2300,20.1800,72.0,68.0,29.0,72.2,40.1,80.0,33.6,83.0,29.0,2.0,8.0,8.0,13.0,18.0
03/21/2022,13:02:14,72.2,4.0,129,17,30.224,0.0000,0.0000,0.2300,20.1800,72.0,68.0,25.0,72.2,40.1,80.0,33.6,83.0,29.0,3.0,8.0,8.0,13.0,18.0
03/21/2022,13:03:14,72.0,2.0,173,18,30.221,0.0000,0.0000,0.2300,20.1800,72.0,68.0,26.0,72.3,40.1,80.0,33.6,83.0,29.0,3.0,8.0,8.0,13.0,18.0
03/21/2022,13:04:14,71.9,3.0,5,18,30.222,0.0000,0.0000,0.2300,20.1800,72.0,68.0,26.0,72.3,40.1,80.0,33.6,83.0,29.0,3.0,8.0,8.0,13.0,18.0
03/21/2022,13:05:14,71.9,2.0,49,18,30.222,0.0000,0.0000,0.2300,20.1800,72.0,68.0,26.0,72.3,40.1,80.0,33.6,83.0,29.0,3.0,8.0,8.0,13.0,18.0
03/21/2022,13:06:14,71.9,2.0,49,18,30.222,0.0000,0.0000,0.2300,20.1800,72.0,68.0,26.0,72.3,40.1,80.0,33.6,83.0,29.0,3.0,8.0,8.0,13.0,18.0
03/21/2022,13:07:14,72.4,2.0,306,18,30.224,0.0000,0.0000,0.2300,20.1800,72.0,69.0,26.0,72.4,40.1,80.0,33.6,83.0,29.0,3.0,8.0,8.0,13.0,18.0
03/21/2022,13:08:14,72.3,3.0,269,18,30.221,0.0000,0.0000,0.2300,20.1800,72.0,68.0,26.0,72.4,40.1,80.0,33.6,83.0,29.0,2.0,10.0,8.0,13.0,18.0
